n,obras,autor,fecha,medio,tecnica,material,alto,ancho,fuente,descripcion,periodo,region,pais,camino,id,modelo,repositorio,procedencia,atributoCarguero,accionCarguero,atributoCargado,numeroCargueros,direccionMiradaCarguero,direccionMiradaCargado,direccionCargado,generoCargado,figura/fondo,genero,soporte,otros,src
10,America. L'America rappresentata sotto figura allegorica,Giulio Ferrario,1826,Grabado,Grabado,papel,NI,NI,"Il costume antico e moderno, o, storia del governo, della milizia, della religione, delle arti, scienze ed usanze di tutti i popoli antichi e moderni, provata coi monumenti dell'antichità e rappresentata cogli analoghi disegni dal dottor Giulio Ferrario : America. Vol. 1.",Alegoría de América que usa el fondo de la lámina V de Vues para su composición.  Se encuentra en el libro de trajes de Giulio Ferrairo. Se trata de un tema que se remonta a la Iconología de Cesare Ripa. La mujer que personifica a América está en pose melancólica.,1819 - 1850,Montañas andinas,Colombia,Quindío,1l4_SHM3hDkl8HHErc7THXwtVFDH8p0Ry,humboldt,https://archive.org/details/ilcostumeantic1to2ferr/page/n81/mode/1up?ref=ol,Italia,NA,NA,NA,NA,NA,NA,NA,NA,equilibrio,alegoria,libro,false,88.jpg
11,Campamento camino del Quindio,François Desiré Roulin,1824,Pintura,Dibujo,papel,NI,NI,"Marguerite Combes, Pauvre et aventureuse. Bourgeoisie. Roulin et ses amis (1796-1874), (Paris: Peyronnet, 1929)","El boceto del campamento en el camino del Quindío se encuentra reproducido en la biografía de Francois Desire Roulin publicada por Marguerite Combes en 1929. La biógrafa reprodujo varios bocetos de Roulin en su texto sobre el francés. Estos dibujos, según Antei, se deben encontrar aun en alguna colección privada. Ninguno de estos se encuentra en la colección de acuarelas donada en 2003. El dibujo muestra un campamento en el camino del Quindío en el que se puede apreciar un carguero en el centro de la composición. Según refiere Combes, el sujeto con un paraguas abierto que está siendo cargado es un notario que acompañaba a Roulin y Boussigault a la misión de inspeccionar y levantar el plano de las minas de La Vega de Supía. Combes equivocadamente afirma que el sujeto que se puede ver en la parte inferior derecha es Boussingault. Esto no es posible porque este último había recibido la orden de tomar la ruta por el Páramo de Herveo para explorar la posibilidad de hacer llegar a la Vega Supía, por este paso, un material que enviado desde Inglaterra con un grupo de mineros de Cornualles. Roulin hace una referencia directa a este dibujo en un pie de página en un artículo sobre el Tapir de su recopilación de trabajos científicos llamado Histoire naturelle et souvenirs de voyage de 1865. Este pie de página no se encuentra en el texto original publicado en los Annales des Sciences Naturelles en 1829 para reportar su descubrimiento de una nueva especie de Tapir en los andes de la Nueva Granada (Tapirus Pinchaque, Tapir andino o Danta de montaña).  La información que le dieron los cargueros cuando estaba pasando por el camino del Quindío fue útil para establecer la existencia de una especie de Tapir que habita las tierras altas andinas. Esta información fue luego corroborada en el páramo del Sumapaz en donde unos cazadores dieron caza a dos tapires andinos que sirvieron a Roulin para describir y dibujar el animal. En el pie de página Roulin aclara que se refiere por “cargueros”  a los portadores que durante el buen tiempo (belle saison) llevan a sus espaldas una parte de las mercancías de Ibagué a Cartago, y durante el tiempo de lluvias (saison des pluies) llevan los viajeros y las mercancías, dado que el camino se hace impracticable para las mulas. Así mismo, afirma que en el Magasin Pittoresque de 1848, en la página 233, se puede encontrar figurado “un viajero del Quindío y su montura humana (un voyageurdu Quindiù et sa monture humaine)”.  Y, que el grabado referido está tomado del dibujo de un campamento del Quindío que él mismo había hecho para Humboldt. Francois Desire Roulin, “Mémoire pour servir à l'Histoire du Tapir; et Description d'une espèce nouvelle appartenant aux hautes régions de la Cordilière des Andes”, Annales Des Sciences Naturelles, 18, 1829: 26-56; François Desiré Roulin, “Le tapir. Découverte D'une Espèce Nouvelle Et Histoire de L'ancienne Espèce”, Histoire naturelle et souvenirs de voyage (Paris: J. Herzel Libraire Editeur, 1965): 261-309;",1819 - 1850,Montañas andinas,Colombia,Quindío,1DwpoAHBmtb2AioPdJXjsE53tkm9rO2S2,roulin,https://descubridor.banrepcultural.org/permalink/57BDLRDC_INST/qk5q4l/alma991008927709707486,Francia,baston,recibiendo,sombrilla,2,frente,frente,atras,masculino,figura,tipos humanos,manuscrito,false,8.png
12,Peoner i andisca bergen,August Gosselman. C. G. Plagemann[Dib.]. Gjothstrom Magnusson[Grab.],1827,Grabado,Litografía,papel,15.2,10.3,"Karl August Gosselman, Resa i Colombia, åren 1825 och 1826 (Estocolmo: Tryckt hos Joahn Horberg, 1827)","La lámina hace referencia al momento de difícil ascenso en el que Gosselman decide montarse en su sillero para soportar el trayecto. El sueco afirma que la poca costumbre de caminar minó su resistencia, ya debilitada por aquella larga travesía en canoa por el rio Magdalena. Así confiesa que al no poder subir tan rápido como las circunstancias lo exigían, muy a su pesar, tuvo que aceptar el llamado de su peón, quien le decía: ""Monte ahora, señor, su merced no irá a pagarme por nada"". Gosselman finalmente acepta, lamentándose de manera que mantiene una argumentación relacionada con la consideración de las personas como un fin en sí mismas, y la penosa circunstancia de tener que instrumentalizar a otro ser humano: “Finalmente debí aceptar. Lamentando que dos personas, cada una con sus propios medios, fueran más lentas para avanzar que una de ellas haciendo el trabajo de las dos”. La imagen sigue una estructura semejante al carguero de Hamilton en el sentido de que muestra una fila que intercala dos cargueros de cosas y uno de hombres. El viajero sueco habla de una pequeña bolsa con un pan de maíz seco, un trozo de queso, otro de panela y algunas bolitas de chocolate constituyen habitualmente la provisión para el viaje. Todo lo envuelven en un pañuelo que se amarran en la cabeza. En la banda que sostiene la cabeza del carguero en la imagen se puede ver la pequeña bolsa ilustrada (ver detalle). Otro motivo que debe destacarse de la lámina es el de los brazos cruzados del sillero, solo hay otro par de imágenes que se parecen en este sentido, la lámina Viajero llevado sobre la espalda del indio en las montañas de la provincia de Antioquia de Auguste Le Moyne, quien, por cierto, no estuvo en Antioquia.  Asimismo, el boceto de un Carguero que hace parte de la colección de Joseph Brown (ver detalles). A propósito de la relación con estas imágenes también vale la pena resaltar el sombrero puntudo que tiene el cargado, que se encuentra fumando y volteando su cara para mirar al espectador que es semejante al sobrero que en las imágenes de Le Moyne y Brown tiene el carguero. Así, los elementos de esta imagen como la fila de cargueros subiendo por la montaña, las manos cruzadas del carguero, la bolsita que tiene en la banda de la cabeza, el viajero cargado mirando al espectador y fumando puro, y el ángulo cerrado lleno de vegetación que ofrece el ambiente de la imagen, son innovaciones que no están en ninguna imagen previa. Teniendo en cuenta que la imagen le da crédito a C. G. Plagemann en el dibujo y a Gjothstrom Magnusson en el grabado, se puede conjeturar que la imagen fue realizada en Suecia, a partir de la serie de escenas del relato referido, así como a descripciones e indicaciones hechas por Gosselman. Se configura en este caso una écfrasis inversa, en la que las descripciones que son figuradas como cuadros, pinturas y mapas, son convertidas en una imagen, que, a su vez, servirá posteriormente para que los lectores y espectadores experimenten el viaje. De la misma manera, la imagen parece haber servido de modelo a otros viajeros figurar las experiencias de su propio viaje. ",1819 - 1850,Montañas andinas,Colombia,Antioquia,1AtGk4VwssrOdssuTERpuZctyQcutoNti,gosselman,https://babel.banrepcultural.org/digital/collection/p17054coll18/id/450/,Suecia,brazos curzados,ascendiendo,cigarro,3,abajo,espectador,atras,masculino,figura,tipos humanos,libro,false,9.jpg
13,Precipitous descent of a cordillera of the Andes in the province of Chocó,Charles Stuart Cochrane,1825,Grabado,Grabado,papel,17.2,10.8,"Charles Stuart Cochrane, Journal of a Residence and Travels in Colombia, During the Years 1823 and 1824 (In Two volumes), (Londres: Henry Colburn, 1825)","La imagen se refiere al paso de Cochrane desde Cartago hasta Nóvita en la provincia del Chocó. Durante el paso del Quindío se había negado a usarlos siguiendo el ejemplo de Humboldt. Pero camino a chocó ya no pudo soportar las condiciones del terreno que le habían lastimado mucho sus pies. La imagen representa una escena descrita por Cochrane en la que sufrió un gran traumatismo en el momento en que su carguero se giró repentinamente para descender por un precipicio escalando entre piedras y ramas. La imagen debe interpretarse como una suerte de secuencia, en la que se muestra el descenso traumático, y después un momento de descanso divisando el paisaje. (Cochrane, p. 409-410)",1819 - 1850,Montañas andinas,Colombia,Chocó,1AjwPXYYFenOb7kb_n4ggb34YkQmmRNtT,cochrane,https://archive.org/details/journalaresiden00unkngoog/page/n8/mode/2up,Inglaterra,baston,descansando,señalando,3,frente,atras,atras,masculino,equilibrio,vista,libro,false,10.png
14,View of the pass from Quindio. In the province of Popayan & cargueros (or carriers) who travel it,John Potter Hamilton [Atribuido]. Eduard Francis Finden [grab],1827,Grabado,Aguafuerte,papel,NI,NI,"John Potter Hamilton, Travels through the interior provinces of Columbia (Londres: John Murray, 1827)","Esta lámina podría estar, según Antei (1995, p. 111-112), basada en el boceto de Roulin. Argumenta, la posición del carguero, el sombrero de copa, la sombrilla, el cambio de orientación en el tallado para el grabado, y muestra que efectivamente Hamilton y Roulin se conocieron en Bogotá. Esto apoya la tesis de de Josefina de la Maza, Carolina Vanegas, Ricardo Rey y Catalina Valdés acerca de la posibilidad de que Roulin tuviese un Álbun de láminas que ponía al servicio de los viajeros. Además, sirve de modelo a una vista anónima probablemente basada “en originales de Gaetano Osculati” (Antei 1995, p. 61).",1819 - 1850,Montañas andinas,Colombia,Quindío,1L_2ROtUasRltHbsyoRULUn0KkcAOmlWy,roulin,https://archive.org/details/travelsthroughin02hami/page/210/mode/2up,Inglaterra,baston,ascendiendo,sombrilla,2,abajo,frente,atras,masculino,figura,vista,libro,false,11.png
15,[Carguero],Anónimo,1830,Grabado,Grabado,papel,NI,NI,"Museo Nacional de Colombia, Antei, Giorgio. Guía de forasteros : viajes ilustrados por Colombia, 1817-1857 / Giorgio Antei. Bogotá: Seguros Bolívar, 1995.","Vista anónima probablemente basada “en originales de Gaetano Osculati” (Antei 1995, p. 61). Semejanza con la lámina del relato de Hamilton. Antei no precisa a cuál original. Cita el relato de Osculati, pero allí no se encuentra la imagen original. (por lo menos en la edición revisada).",1819 - 1850,Montañas andinas,Colombia,NA,1A1INz7t1W4MYQWXSKeE1lOaPr1ZGFXuI,roulin,https://www.worldcat.org/es/title/guia-de-forasteros-viajes-ilustrados-por-colombia-1817-1857/oclc/34881687?referer=di&ht=edition,Italia,baston,ascendiendo,sombrero,2,abajo,frente,atras,masculino,figura,tipos humanos,lamina,false,12.png
16,[Carguero],Auguste Le Moyne [Atribuido],1828,Pintura,Acuarela,papel,22,18,"Beatriz González, Donación Carlos Botero-Nora Restrepo: Auguste Le Moyne en Colombia 1828-1841, (Bogotá: Museo Nacional de Colombia, 2004)","Es una imagen bastante singular, no hay otra que se le asemeje. El carguero se encuentra vestido. La sila de lujo que lleva es una posible alusión a uno de los relatos que proliferan en las descripciones de los cargueros acerca de que habían personas que tenían su propia silla y sus propios cargueros ya que viajaban con mucha frecuencia.  En este sentido se parece a la imagen de Waldeck en el camino de Chiapas en México. A su vez, sirvió de modelo a la lámina que aparece en el libro de Margarita Serje en El Revés de la Nación. ",1819 - 1850,Montañas andinas,Colombia,Quindío,1II4FL5e8UqX11b8yf2JFaEmoafen63Ck,le moyne,https://www.worldcat.org/es/title/55644826,Francia,vestido,caminando,silla de lujo,1,abajo,frente,atras,masculino,figura,tipos humanos,lamina,false,13.png
17,"The artist carried in a sillero over the Chiapas from Palenque to Ocosingo, Mexico",Baron Jean–Frédérik Waldeck,1833,Pintura,Óleo,lienzo,49.3,41.5,Princeton University Art Museum,"La imagen fue hecha en el contexto de viajes a las ruinas Maya de Palenque. Estas ruinas fueron descubiertas a principios del siglo XVIII en la selva chipnaeca, en las inmediaciones del poblado San Domingo de Palenque, en el sureste de lo que hoy se conoce como México. Waldeck fue uno de los que participó por ganarse el premio que en 1825 la Société de Géographie ofreció para estimular el estudio de las ruinas, al enterarse de la existencia de estas a través de una traducción inglesa en la que se compiló el informe de Antonio del Río y el plagio que Paul Félix Cabrera hizo de un documento inédito de Ramón Ordoñez y Aguilar (El premio se declaró desierto). Waldeck era un aventurero y cirquero excéntrico que estuvo en la zona de Palenque en 1832. Aunque concursó por el premio de la Société de Géographie, prefería mostrar sus resultados en una especie de circo ambulante que recorrería Inglaterra y Francia (Díaz, 2009, p. 118). Usando un tópico común en la época, explica la existencia de las ruinas en el nuevo mundo a través de migraciones, datadas 10.000 años A.C, procedentes de Asia, África o Europa. El interés de este personaje no está relacionado con la precisión histórica o arqueológica de sus descripciones, sino su carácter de artista viajero (Diener 2017, 900-902). No es claro para mí hasta el momento en que contexto fue realizada la obra del sillero ni con qué propósito específico. Nunca se ha expuesto en México, y se encuentra en una colección privada en los Estados Unidos. Es la única obra sobre silleros en óleo sobre lienzo hecha en la época, lo que obliga a interpretarla de un modo diferente a las demás. La composición es interesante. Podemos presumir que es un autorretrato, aunque solo se ve su pierna y su mano. Más adelante en el camino, hacia la parte superior derecha se distingue un carguero cargando sus lienzos. Tiene elementos semejantes a los de los cargueros colombianos, aunque dispuestos de modo diferente y con pretensiones artísticas evidentes. La silla es diferente, más elegante, y puede observarse el sombrero de Waldeck colgando de ella. El indio está semidesnudo y descalzo y la escena no se preocupa tanto de la fisionomía del paisaje. El comentario que hace sobre el viaje en silla en su única obra publicada, aparece en un pie de página en el que hace una digresión mientras da concejos acerca del modo de viajar por la península de Yucatán. En este punto remite a otra obra en la que afirma ya haber expresado la mejor manera de hacerlo. Esto muestra que el viajero no solo usó la silla, sino que maximizó su experiencia y la reacondicionó de acuerdo con sus necesidades. “On se rappelle que j'ai indiqué les moyens de rendre ces meubles le plus commodes et le plus doux possible, et de les disposer de telle sorte qu'ils puissent contenir les provisions, armes et instruments d'observation nécessaires dans une excursion scientifique” Waldeck, Jean-Frédéric. (1938). Voyage pittoresque et archéologique dans la province d'Yucatan (Amérique Centrale), pendant les années 1834 et 1836. Paris: Bellizard Dufour et Cº, Éditeurs,  p. 34",1819 - 1850,Montañas de Mesoamerica,México,Chiapas,1c7lAHrCwfjuYZ6bFHngPqOPK-Mv7KunM,mexico,https://artmuseum.princeton.edu/collections/objects/104451,Republica Checa,baston,ascendiendo,silla de lujo,1,abajo,frente,atras,masculino,figura,tipos humanos,cuadro,false,14.png
18,Viajero llevado sobre la espalda del indio en las montañas de la provincia de Antioquia,Auguste Le Moyne [Atribuido],1835,Pintura,Acuarela,papel,26.3,17.8,"Beatriz González, Donación Carlos Botero-Nora Restrepo: Auguste Le Moyne en Colombia 1828-1841, (Bogotá: Museo Nacional de Colombia, 2004)",Tiene la misma pose de las manos cruzadas del carguero de Gosselman. La composici'on se asemeja al boceto sin título de la coleccion de Joseph Brown,1819 - 1850,Montañas andinas,Colombia,Antioquia,1TnRYZncVNaUOoDKS2SN_iLjYI7voIQgL,gosselman,https://www.worldcat.org/es/title/55644826,Francia,brazos curzados,ascendiendo,sombrilla,1,atras,frente,atras,masculino,figura,tipos humanos,lamina,false,15.png
19,[Carguero],Joseph Brown [Atribuido],1835,Pintura,Dibujo,papel,33.6,24,Colección de pinturas de Joseph Brown. Royal geographical society of London,Tiene la misma pose con las manos cruzadas del carguero de Gosselman. La composicion se asemeja al boceto sin título de la coleccion de August Le Moyne,1819 - 1850,Montañas andinas,Colombia,Quindío,1lAYmmFmfyepAi6h1_QFvONu-5IAxALgv,gosselman,https://worldcat.org/es/title/22382447,Inglaterra,brazos curzados,ascendiendo,sombrilla,1,frente,frente,atras,masculino,figura,tipos humanos,lamina,false,16.jpg
20,Men Carriers,The Saturday Magazine,1839,Grabado,Grabado en madera,papel,NI,NI,"Glances at the Modes of Traveling in Foreign Lands, The Saturday Magazine 449 (1839): 250-256","En Inglaterra, en 1839, apareció una alusión a la metáfora que comparaba al carguero con un animal de carga -en referencia a la anécdota de Humboldt- en un artículo de The Saturday Magazine donde se discutía sobre los tipos de carruajes usados en diversos lugares del mundo y la fuerza motriz que los movía. Allí, el horizonte de expectativa se proyecta hacia un escenario en el que estas fuerzas podrán ser de otra naturaleza y reemplazar las de los animales y los hombres. El Saturday Magazine era la revista que competía con The Penny Magazine. Estas revistas fueron pioneras en el uso de un modelo de impresión que El modelo consistía en un formato de publicación, unas aplicaciones tecnológicas del uso de la xilografía y el prototipado, un proceso de racionalización de la producción de impresos, un modelo de negocio y un ideal acerca de la correlación que hay entre la expansión del mercado de lectores y la posibilidad de llevar el acceso al conocimiento 'útil' hasta las clases populares. Ver 'The Commercial History of a Penny Magazine', The Penny Magazine 1 (1833): 377 (suplemento). ",1819 - 1850,Montañas andinas,Colombia,Quindío,1FGic-xCloSKPiXzKIrxsoccEz8p4Wb4N,humboldt,https://archive.org/details/sim_saturday-magazine_1839-06_14_449/page/n3/mode/2up,Inglaterra,baston,caminando,libro,2,frente,frente,atras,femenino,figura,opinion,prensa,false,17.png
